probe_id,model,probe_family,probe_subtype,tier,dataset,generator_model,base_item_id,scoring_method,rule_score,judge_verified,final_score,similarity,read_delta,overlap,detail_found,base_readability,probe_readability,rule_reason,critical_detail,detail_exact_match,detail_word_overlap,judge_1_name,judge_1_equiv,judge_1_confidence,judge_2_name,judge_2_equiv,judge_2_confidence,base_output_preview,probe_output_preview
INV_LEX_TSAR_01-a2,flan-t5-large,invariance,lexical,1,TSAR2025,rule_based,TSAR_01-a2,rule_then_judge,1,True,1,0.9661,0.0,,,12.69,12.69,"sim=PASS(0.966),read_delta=PASS(0.0)",,,,claude-haiku,True,high,mistral-large-3,True,high,"NASA is working towards logging some of the smaller asteroids, those measuring 140 metres wide or more. Of the 25,000 estimated asteroids of this size, so far about 8,000 have been logged, leaving 17,","NASA is working towards logging some of the smaller asteroids, those measuring 140 metres wide or more. Of the 25,000 estimated asteroids of this size, so far about 8,000 have been logged, leaving 17,"
INV_LEX_TSAR_01-b1,flan-t5-large,invariance,lexical,1,TSAR2025,rule_based,TSAR_01-b1,rule_then_judge,1,True,1,0.9661,0.35,,,12.69,13.03,"sim=PASS(0.966),read_delta=PASS(0.3)",,,,claude-haiku,True,high,mistral-large-3,True,high,"NASA is working towards logging some of the smaller asteroids, those measuring 140 metres wide or more. Of the 25,000 estimated asteroids of this size, so far about 8,000 have been logged, leaving 17,","NASA is working towards logging some of the smaller asteroids, those measuring 140 metres wide or more. Of the 25,000 estimated asteroids of this size, so far about 8,000 have been logged, leaving 17,"
INV_LEX_TSAR_03-a2,flan-t5-large,invariance,lexical,1,TSAR2025,rule_based,TSAR_03-a2,rule_then_judge,1,True,1,0.9811,0.0,,,8.58,8.58,"sim=PASS(0.981),read_delta=PASS(0.0)",,,,claude-haiku,True,high,mistral-large-3,True,high,"The Hunger Games are an annual event, which the Capitol uses to remind the districts that they are being punished for rebelling. Every year one boy and one girl aged 12 to 18 are chosen from each dist","The Hunger Games are an annual event, which the Capitol uses to remind the districts that they are being punished for rebelling. Every year one boy and one girl aged 12 to 18 are chosen from each dist"
INV_LEX_TSAR_03-b1,flan-t5-large,invariance,lexical,1,TSAR2025,rule_based,TSAR_03-b1,rule_then_judge,1,True,1,0.9811,0.0,,,8.58,8.58,"sim=PASS(0.981),read_delta=PASS(0.0)",,,,claude-haiku,True,high,mistral-large-3,True,high,"The Hunger Games are an annual event, which the Capitol uses to remind the districts that they are being punished for rebelling. Every year one boy and one girl aged 12 to 18 are chosen from each dist","The Hunger Games are an annual event, which the Capitol uses to remind the districts that they are being punished for rebelling. Every year one boy and one girl aged 12 to 18 are chosen from each dist"
INV_LEX_TSAR_04-a2,flan-t5-large,invariance,lexical,1,TSAR2025,rule_based,TSAR_04-a2,rule_then_judge,1,True,1,0.8911,0.22,,,7.41,7.63,"sim=PASS(0.891),read_delta=PASS(0.2)",,,,claude-haiku,True,high,mistral-large-3,True,high,"In recent years, the world's press has been full of reports of wild animals coming into cities in bigger and bigger numbers. There have been bears in Vancouver parks, leopards on the streets of Mumbai","Little animals like birds, squirrels, mice and insects are a frequent sight in many cities and towns. But in recent years, the world's press has been full of reports of wild animals coming into cities"
INV_LEX_TSAR_04-b1,flan-t5-large,invariance,lexical,1,TSAR2025,rule_based,TSAR_04-b1,rule_then_judge,1,True,1,1.0,0.0,,,7.41,7.41,"sim=PASS(1.000),read_delta=PASS(0.0)",,,,claude-haiku,True,high,mistral-large-3,True,high,"In recent years, the world's press has been full of reports of wild animals coming into cities in bigger and bigger numbers. There have been bears in Vancouver parks, leopards on the streets of Mumbai","In recent years, the world's press has been full of reports of wild animals coming into cities in bigger and bigger numbers. There have been bears in Vancouver parks, leopards on the streets of Mumbai"
INV_LEX_TSAR_05-a2,flan-t5-large,invariance,lexical,1,TSAR2025,rule_based,TSAR_05-a2,rule_then_judge,1,True,1,1.0,0.0,,,7.03,7.03,"sim=PASS(1.000),read_delta=PASS(0.0)",,,,claude-haiku,True,high,mistral-large-3,True,high,"Potentially Hazardous Asteroids are rocks close enough to pass within 7.5 million kilometres of Earth's orbit. NASA has created a map of 1,400 PHAs, none of which are expected to be a threat in the ne","Potentially Hazardous Asteroids are rocks close enough to pass within 7.5 million kilometres of Earth's orbit. NASA has created a map of 1,400 PHAs, none of which are expected to be a threat in the ne"
INV_LEX_TSAR_05-b1,flan-t5-large,invariance,lexical,1,TSAR2025,rule_based,TSAR_05-b1,rule_then_judge,1,False,0,1.0,0.0,,,7.03,7.03,"sim=PASS(1.000),read_delta=PASS(0.0)",,,,claude-haiku,True,high,mistral-large-3,False,high,"Potentially Hazardous Asteroids are rocks close enough to pass within 7.5 million kilometres of Earth's orbit. NASA has created a map of 1,400 PHAs, none of which are expected to be a threat in the ne","Potentially Hazardous Asteroids are rocks close enough to pass within 7.5 million kilometres of Earth's orbit. NASA has created a map of 1,400 PHAs, none of which are expected to be a threat in the ne"
INV_LEX_TSAR_06-a2,flan-t5-large,invariance,lexical,1,TSAR2025,rule_based,TSAR_06-a2,rule_then_judge,1,True,1,0.9636,0.48,,,8.34,8.82,"sim=PASS(0.964),read_delta=PASS(0.5)",,,,claude-haiku,True,high,mistral-large-3,True,high,"One night in 2003, Suzanne Collins was flipping between channels on TV. It was at the time of the US invasion of Iraq. The only programmes she could find on TV were 'reality' programmes of young peopl","One night in 2003, Suzanne Collins was flipping between channels on TV. It was at the time of the US invasion of Iraq. The only programmes she could identify on TV were 'reality' programmes of young p"
INV_LEX_TSAR_06-b1,flan-t5-large,invariance,lexical,1,TSAR2025,rule_based,TSAR_06-b1,rule_then_judge,1,True,1,0.9636,0.32,,,8.34,8.66,"sim=PASS(0.964),read_delta=PASS(0.3)",,,,claude-haiku,True,high,mistral-large-3,True,high,"One night in 2003, Suzanne Collins was flipping between channels on TV. It was at the time of the US invasion of Iraq. The only programmes she could find on TV were 'reality' programmes of young peopl","One night in 2003, Suzanne Collins was flipping between channels on TV. It was at the time of the US invasion of Iraq. The only programmes she could discover on TV were 'reality' programmes of young p"
