probe_id,judge,equivalent,confidence,failures,reason,probe_subtype,tier,dataset,generator_model,base_text_preview,probe_text_preview
INV_LEX_TSAR_01-a2,claude-haiku,True,high,[],"Both texts are semantically identical except for two minor synonymous substitutions ('people' → 'citizens' and 'serious' → 'severe') that preserve meaning without altering facts, numbers, agents, actions, modals, negation, or conditions.",lexical,1,TSAR2025,rule_based,"Now NASA is working towards logging some of the smaller asteroids, those measuring 140 metres wide or more. Of the 25,000 estimated asteroids of this size, so far about 8,000 have been logged, leaving","Now NASA is working towards logging some of the smaller asteroids, those measuring 140 metres wide or more. Of the 25,000 estimated asteroids of this size, so far about 8,000 have been logged, leaving"
INV_LEX_TSAR_01-b1,claude-haiku,True,high,[],"Both texts contain identical factual content, agents, actions, and conditions; only minor word substitutions ('people' to 'individuals' and 'serious' to 'severe') that preserve semantic meaning.",lexical,1,TSAR2025,rule_based,"Now NASA is working towards logging some of the smaller asteroids, those measuring 140 metres wide or more. Of the 25,000 estimated asteroids of this size, so far about 8,000 have been logged, leaving","Now NASA is working towards logging some of the smaller asteroids, those measuring 140 metres wide or more. Of the 25,000 estimated asteroids of this size, so far about 8,000 have been logged, leaving"
INV_LEX_TSAR_03-a2,claude-haiku,True,high,[],"Both texts are identical except for 'called' vs 'named', which are semantically equivalent synonyms in this context of designating a term for the chosen teenagers.",lexical,1,TSAR2025,rule_based,"The Hunger Games are an annual event, which the Capitol uses to remind the districts that they are being punished for rebelling. Every year one boy and one girl aged 12 to 18 are chosen from each dist","The Hunger Games are an annual event, which the Capitol uses to remind the districts that they are being punished for rebelling. Every year one boy and one girl aged 12 to 18 are chosen from each dist"
INV_LEX_TSAR_03-b1,claude-haiku,True,high,[],"Both texts are identical except for 'called' vs 'named', which are semantically equivalent synonyms with no impact on meaning.",lexical,1,TSAR2025,rule_based,"The Hunger Games are an annual event, which the Capitol uses to remind the districts that they are being punished for rebelling. Every year one boy and one girl aged 12 to 18 are chosen from each dist","The Hunger Games are an annual event, which the Capitol uses to remind the districts that they are being punished for rebelling. Every year one boy and one girl aged 12 to 18 are chosen from each dist"
INV_LEX_TSAR_04-a2,claude-haiku,True,high,[],"The only changes are synonymous word substitutions ('Small' to 'Little', 'common' to 'frequent') that preserve semantic meaning without altering agents, actions, modals, negation, conditions, or content.",lexical,1,TSAR2025,rule_based,"Small animals like birds, squirrels, mice and insects are a common sight in many cities and towns. But in recent years, the world's press has been full of reports of wild animals coming into cities in","Little animals like birds, squirrels, mice and insects are a frequent sight in many cities and towns. But in recent years, the world's press has been full of reports of wild animals coming into cities"
INV_LEX_TSAR_04-b1,claude-haiku,True,high,[],"Both texts convey identical meaning; 'small' and 'minor' are semantically equivalent synonyms in this context, and 'common' and 'frequent' are likewise synonymous, with all other content preserved exactly.",lexical,1,TSAR2025,rule_based,"Small animals like birds, squirrels, mice and insects are a common sight in many cities and towns. But in recent years, the world's press has been full of reports of wild animals coming into cities in","Minor animals like birds, squirrels, mice and insects are a frequent sight in many cities and towns. But in recent years, the world's press has been full of reports of wild animals coming into cities "
INV_LEX_TSAR_05-a2,claude-haiku,True,high,[],"The only change is 'make predictions' to 'produce predictions,' which are synonymous verbs expressing identical meaning in context.",lexical,1,TSAR2025,rule_based,"Potentially Hazardous Asteroids' are rocks close enough to pass within 7.5 million kilometres of Earth's orbit. NASA has created a map of 1,400 PHAs, none of which are expected to be a threat in the n","Potentially Hazardous Asteroids' are rocks close enough to pass within 7.5 million kilometres of Earth's orbit. NASA has created a map of 1,400 PHAs, none of which are expected to be a threat in the n"
INV_LEX_TSAR_05-b1,claude-haiku,True,high,[],"The only change is 'make predictions' to 'create predictions', which are semantically equivalent expressions with identical meaning in this context.",lexical,1,TSAR2025,rule_based,"Potentially Hazardous Asteroids' are rocks close enough to pass within 7.5 million kilometres of Earth's orbit. NASA has created a map of 1,400 PHAs, none of which are expected to be a threat in the n","Potentially Hazardous Asteroids' are rocks close enough to pass within 7.5 million kilometres of Earth's orbit. NASA has created a map of 1,400 PHAs, none of which are expected to be a threat in the n"
INV_LEX_TSAR_06-a2,claude-haiku,True,high,[],"Both texts are semantically identical; 'flipping' vs 'identify' channels and 'young people' vs 'young persons' are equivalent substitutions that preserve all agents, actions, content, and meaning.",lexical,1,TSAR2025,rule_based,"One night in 2003, Suzanne Collins was flipping between channels on TV. It was at the time of the US invasion of Iraq. The only programmes she could find on TV were 'reality' programmes of young peopl","One night in 2003, Suzanne Collins was flipping between channels on TV. It was at the time of the US invasion of Iraq. The only programmes she could identify on TV were 'reality' programmes of young p"
INV_LEX_TSAR_06-b1,claude-haiku,True,high,[],"The transformations 'flipping' to 'flipping' (unchanged), 'could find' to 'could discover' (synonymous), and 'young people' to 'young persons' (synonymous) preserve all agents, actions, modals, negation, conditions, and content.",lexical,1,TSAR2025,rule_based,"One night in 2003, Suzanne Collins was flipping between channels on TV. It was at the time of the US invasion of Iraq. The only programmes she could find on TV were 'reality' programmes of young peopl","One night in 2003, Suzanne Collins was flipping between channels on TV. It was at the time of the US invasion of Iraq. The only programmes she could discover on TV were 'reality' programmes of young p"
