model,probe_subtype,family,reliability,valid_n,total_n
flan-t5-large,detail_generic_qualifying,shortcut,0.8165,2033,2033
flan-t5-large,detail_medical,shortcut,1.0,1,1
flan-t5-large,detail_qualifying,shortcut,1.0,1,1
flan-t5-large,lexical,invariance,0.6809,470,470
flan-t5-large,ose_difficulty_pair,directional,0.9198,374,374
flan-t5-large,semantic,invariance,0.9204,2034,2035
flan-t5-large,syntactic,invariance,0.9107,56,56
flan-t5-xl,detail_generic_qualifying,shortcut,0.7206,2033,2033
flan-t5-xl,detail_medical,shortcut,1.0,1,1
flan-t5-xl,detail_qualifying,shortcut,1.0,1,1
flan-t5-xl,lexical,invariance,0.6809,470,470
flan-t5-xl,ose_difficulty_pair,directional,0.9091,374,374
flan-t5-xl,semantic,invariance,0.9479,2033,2034
flan-t5-xl,syntactic,invariance,0.9107,56,56
gemma-3-27b,detail_generic_qualifying,shortcut,0.0453,2033,2033
gemma-3-27b,detail_medical,shortcut,0.0,1,1
gemma-3-27b,detail_qualifying,shortcut,0.0,1,1
gemma-3-27b,lexical,invariance,0.6809,470,470
gemma-3-27b,ose_difficulty_pair,directional,0.7727,374,374
gemma-3-27b,syntactic,invariance,0.9107,56,56
gpt-4.1,detail_generic_qualifying,shortcut,0.245,2033,2033
gpt-4.1,detail_medical,shortcut,0.0,1,1
gpt-4.1,detail_qualifying,shortcut,1.0,1,1
gpt-4.1,lexical,invariance,0.6809,470,470
gpt-4.1,ose_difficulty_pair,directional,0.7406,374,374
gpt-4.1,semantic,invariance,0.962,1159,1159
gpt-4.1,syntactic,invariance,0.9107,56,56
llama-3.1-70b,detail_generic_qualifying,shortcut,0.0325,2033,2033
llama-3.1-70b,detail_medical,shortcut,0.0,1,1
llama-3.1-70b,detail_qualifying,shortcut,0.0,1,1
llama-3.1-70b,lexical,invariance,0.6809,470,470
llama-3.1-70b,ose_difficulty_pair,directional,0.7968,374,374
llama-3.1-70b,semantic,invariance,0.9322,2035,2035
llama-3.1-70b,syntactic,invariance,0.9107,56,56
llama-3.1-8b,detail_generic_qualifying,shortcut,0.0576,2033,2033
llama-3.1-8b,detail_medical,shortcut,0.0,1,1
llama-3.1-8b,detail_qualifying,shortcut,0.0,1,1
llama-3.1-8b,lexical,invariance,0.6809,470,470
llama-3.1-8b,ose_difficulty_pair,directional,0.8209,374,374
llama-3.1-8b,semantic,invariance,0.7818,2035,2035
llama-3.1-8b,syntactic,invariance,0.9107,56,56
qwen2.5-32b,detail_generic_qualifying,shortcut,0.1667,2033,2033
qwen2.5-32b,detail_medical,shortcut,1.0,1,1
qwen2.5-32b,detail_qualifying,shortcut,1.0,1,1
qwen2.5-32b,lexical,invariance,0.6809,470,470
qwen2.5-32b,ose_difficulty_pair,directional,0.8984,374,374
qwen2.5-32b,semantic,invariance,0.9501,841,841
qwen2.5-32b,syntactic,invariance,0.9107,56,56
