probe_id,probe_subtype,tier,dataset,base_text_preview,probe_text_preview,j1_name,j1_equivalent,j1_confidence,j1_failures,j1_reason,j2_name,j2_equivalent,j2_confidence,j2_failures,j2_reason
INV_LEX_TSAR_05-b1,lexical,1,TSAR2025,"Potentially Hazardous Asteroids' are rocks close enough to pass within 7.5 million kilometres of Earth's orbit. NASA has created a map of 1,400 PHAs, none of which are expected to be a threat in the n","Potentially Hazardous Asteroids' are rocks close enough to pass within 7.5 million kilometres of Earth's orbit. NASA has created a map of 1,400 PHAs, none of which are expected to be a threat in the n",claude-haiku,True,high,[],"The only change is 'make predictions' to 'create predictions', which are semantically equivalent expressions with identical meaning in this context.",mistral-large-3,False,high,['ACTIONS'],The action 'make predictions' is changed to 'create predictions'.
INV_LEX_TSAR_08-a2,lexical,1,TSAR2025,"Dreams of a phone call from an old friend or the death of someone close, for example, are more likely to be the result of coincidence than prophecy. And, of course, we probably choose to forget all th","Dreams of a phone call from an old friend or the death of someone close, for example, are more likely to be the outcome of coincidence than prophecy. And, of course, we probably choose to forget all t",claude-haiku,False,high,['CONTENT'],"The word 'don't arise' changes the meaning from events not occurring to events not coming into being, which is semantically distinct from 'don't happen' in the original context about dreams and real-world events.",mistral-large-3,True,high,[],"The transformation only changes 'result' to 'outcome' and 'happen' to 'arise', which do not affect the semantic meaning."
INV_LEX_TSAR_12-b1,lexical,1,TSAR2025,"Between 100,000 and 50,000 years ago, though, we start to see the evidence of early human civilisation, through cave paintings for example; no one knows the connection between this and language. Brain","Between 100,000 and 50,000 years ago, though, we commence to see the evidence of early human civilisation, through cave paintings for example; no one knows the connection between this and language. Br",claude-haiku,True,high,[],"Both texts present identical content, agents, actions, and conditions; 'start to see' and 'commence to see' are semantically equivalent, as are 'start producing' and 'commence producing'.",mistral-large-3,False,high,['ACTIONS'],"The term 'commence' is used instead of 'start to see' and 'start producing', and the word 'commence' is not a perfect synonym."
INV_LEX_TSAR_14-b1,lexical,1,TSAR2025,"Wasfia Nazreen first came across a hula hoop as a young girl, when she saw a foreign child who was visiting her native Bangladesh playing with one. Wasfia reluctantly stood by and watched, as in her c","Wasfia Nazreen first came across a hula hoop as a young girl, when she saw a foreign child who was visiting her native Bangladesh playing with one. Wasfia reluctantly stood by and watched, as in her c",claude-haiku,False,high,['CONTENT'],"The transformed text is incomplete, ending with 'g' instead of completing 'girls', making it semantically incomplete and non-equivalent.",mistral-large-3,True,high,[],"The transformed text is identical to the original text except for the change from 'people' to 'individuals', which does not affect the meaning."
INV_LEX_TSAR_17-a2,lexical,1,TSAR2025,"Having an increased awareness of the possible differences in expectations and behaviour can help us avoid cases of miscommunication, but it is vital that we also remember that cultural stereotypes can","Having an increased awareness of the possible differences in expectations and behaviour can support us avoid cases of miscommunication, but it is vital that we also remember that cultural stereotypes ",claude-haiku,True,high,[],"The only change is 'help us avoid' to 'support us avoid' which are semantically equivalent expressions of the same meaning; all other content, modals, negations, and conditions remain identical.",mistral-large-3,False,high,['CONTENT'],"The transformed text omits the phrase 'experiences' at the end, which is present in the original text."
INV_LEX_ASSET_test_0031,lexical,1,ASSET,"In architectural decoration Small pieces of colored and iridescent shell have been used to create mosaics and inlays, which have been used to decorate walls, furniture and boxes.","In architectural decoration Minor pieces of colored and iridescent shell have been used to develop mosaics and inlays, which have been used to decorate walls, furniture and boxes.",claude-haiku,False,high,['CONTENT'],"""Small pieces"" and ""Minor pieces"" have different semantic meanings - small refers to size while minor implies lesser importance or significance.",mistral-large-3,True,high,[],The change from 'Small' to 'Minor' does not affect the overall meaning of the sentence.
INV_LEX_ASSET_test_0067,lexical,1,ASSET,"Historically, the sensations of itch and pain have not been considered to be independent of each other until recently, where it was found that itch has several features in common with pain, but exhibi","Historically, the sensations of itch and pain have not been considered to be independent of each other until recently, where it was discovered that itch has several features in widespread with pain, b",claude-haiku,False,high,['CONTENT'],The phrase 'features in widespread with pain' is grammatically incorrect and changes meaning; the original 'features in common with pain' correctly conveys shared characteristics.,mistral-large-3,True,high,[],"The only difference is the use of 'found' vs. 'discovered,' which are synonymous in this context."
INV_LEX_ASSET_test_0256,lexical,1,ASSET,"The latter provided audiences with the sort of information later provided by intertitles, and can help historians imagine what the film may have been like.","The latter provided audiences with the sort of information later provided by intertitles, and can assist historians imagine what the film may have been like.",claude-haiku,True,high,[],Both versions convey identical meaning with 'help' and 'assist' being synonymous verbs in this context.,mistral-large-3,False,high,['ACTIONS'],The action 'help' is not semantically equivalent to 'assist imagine'.
INV_LEX_ASSET_test_0286,lexical,1,ASSET,"From 1900 to 1920 many new facilities were constructed on campus, including facilities for the dental and pharmacy programs, a chemistry building, a building for the natural sciences, Hill Auditorium,","From 1900 to 1920 many new facilities were constructed on campus, including facilities for the dental and pharmacy programs, a chemistry building, a building for the natural sciences, Hill Auditorium,",claude-haiku,False,high,['CONTENT'],"The adjective describing hospital and library complexes changed from 'large' to 'substantial', which alters the semantic meaning regarding the scale of these facilities.",mistral-large-3,True,high,[],"The transformation only changes 'large' to 'substantial', which does not alter the meaning."
INV_LEX_ASSET_test_0288,lexical,1,ASSET,"Out of 16,421 participants in the national casting, she was chosen among the 15 candidates to appear on the TV show.","Out of 16,421 participants in the national casting, she was chosen among the 15 candidates to appear on the TV display.",claude-haiku,True,high,[],"Both texts preserve all agents, actions, modals, negation, conditions, and content; 'TV show' and 'TV display' are semantically equivalent in this context as the TV show is displayed on a display.",mistral-large-3,False,high,['CONTENT'],"The term 'TV show' is changed to 'TV display', which alters the meaning."
