probe_id,probe_subtype,tier,dataset,base_text_preview,probe_text_preview,j1_name,j1_equivalent,j1_confidence,j1_failures,j1_reason,j2_name,j2_equivalent,j2_confidence,j2_failures,j2_reason
INV_LEX_TSAR_04-b1,lexical,1,TSAR2025,"Small animals like birds, squirrels, mice and insects are a common sight in many cities and towns. But in recent years, the world's press has been full of reports of wild animals coming into cities in","Minor animals like birds, squirrels, mice and insects are a frequent sight in many cities and towns. But in recent years, the world's press has been full of reports of wild animals coming into cities ",claude-haiku,True,high,[],"Both texts convey identical meaning; 'small' and 'minor' are semantically equivalent synonyms in this context, and 'common' and 'frequent' are likewise synonymous, with all other content preserved exactly.",mistral-large-3,False,high,['AGENTS'],"The term 'Small animals' was replaced with 'Minor animals,' which subtly alters the implied significance of the entities, even if the listed examples remain the same."
INV_LEX_TSAR_08-a2,lexical,1,TSAR2025,"Dreams of a phone call from an old friend or the death of someone close, for example, are more likely to be the result of coincidence than prophecy. And, of course, we probably choose to forget all th","Dreams of a phone call from an old friend or the death of someone close, for example, are more likely to be the outcome of coincidence than prophecy. And, of course, we probably choose to forget all t",claude-haiku,False,high,['CONTENT'],"The word 'don't arise' changes the meaning from events not occurring to events not coming into being, which is semantically distinct from 'don't happen' in the original context about dreams and real-world events.",mistral-large-3,True,high,[],"The transformed text preserves all key elements (agents, actions, modals, negation, conditions, and content) with only minor synonym substitutions ('result' to 'outcome', 'happen' to 'arise')."
INV_LEX_TSAR_12-b1,lexical,1,TSAR2025,"Between 100,000 and 50,000 years ago, though, we start to see the evidence of early human civilisation, through cave paintings for example; no one knows the connection between this and language. Brain","Between 100,000 and 50,000 years ago, though, we commence to see the evidence of early human civilisation, through cave paintings for example; no one knows the connection between this and language. Br",claude-haiku,True,high,[],"Both texts present identical content, agents, actions, and conditions; 'start to see' and 'commence to see' are semantically equivalent, as are 'start producing' and 'commence producing'.",mistral-large-3,False,high,['ACTIONS'],"The verb 'start' was replaced with 'commence,' which subtly alters the implied initiation of the action, though the core event remains similar."
INV_LEX_TSAR_14-a2,lexical,1,TSAR2025,"Wasfia Nazreen first came across a hula hoop as a young girl, when she saw a foreign child who was visiting her native Bangladesh playing with one. Wasfia reluctantly stood by and watched, as in her c","Wasfia Nazreen first came across a hula hoop as a young girl, when she saw a foreign child who was visiting her native Bangladesh playing with one. Wasfia reluctantly stood by and watched, as in her c",claude-haiku,False,high,['CONTENT'],"The transformed text changes 'girls' to 'girl' at the end, altering the intended meaning from empowering multiple girls to a single girl.",mistral-large-3,True,high,[],"The transformed text preserves all key entities, actions, conditions, and content, with only minor lexical variation ('people' to 'citizens' and 'girls' to 'girl')."
INV_LEX_TSAR_14-b1,lexical,1,TSAR2025,"Wasfia Nazreen first came across a hula hoop as a young girl, when she saw a foreign child who was visiting her native Bangladesh playing with one. Wasfia reluctantly stood by and watched, as in her c","Wasfia Nazreen first came across a hula hoop as a young girl, when she saw a foreign child who was visiting her native Bangladesh playing with one. Wasfia reluctantly stood by and watched, as in her c",claude-haiku,False,high,['CONTENT'],"The transformed text is incomplete, ending with 'g' instead of completing 'girls', making it semantically incomplete and non-equivalent.",mistral-large-3,True,high,[],"The transformed text preserves all agents, actions, modals, negation, conditions, and content, with only minor lexical variation ('people' to 'individuals') that does not alter meaning."
INV_LEX_TSAR_17-a2,lexical,1,TSAR2025,"Having an increased awareness of the possible differences in expectations and behaviour can help us avoid cases of miscommunication, but it is vital that we also remember that cultural stereotypes can","Having an increased awareness of the possible differences in expectations and behaviour can support us avoid cases of miscommunication, but it is vital that we also remember that cultural stereotypes ",claude-haiku,True,high,[],"The only change is 'help us avoid' to 'support us avoid' which are semantically equivalent expressions of the same meaning; all other content, modals, negations, and conditions remain identical.",mistral-large-3,False,high,['ACTIONS'],"The verb 'help' was replaced with 'support,' which changes the nuance of the action and may slightly alter the intended meaning."
INV_LEX_TSAR_17-b1,lexical,1,TSAR2025,"Having an increased awareness of the possible differences in expectations and behaviour can help us avoid cases of miscommunication, but it is vital that we also remember that cultural stereotypes can","Having an increased awareness of the possible differences in expectations and behaviour can assist us avoid cases of miscommunication, but it is vital that we also remember that cultural stereotypes c",claude-haiku,False,high,['CONTENT'],"The transformed text is incomplete, truncating 'exp' (likely 'experience') to 'e', losing semantic content from the original.",mistral-large-3,True,high,[],"The transformed text preserves all agents, actions, modals, negation, conditions, and content, with only minor lexical variation ('help' → 'assist') that does not alter meaning."
INV_LEX_ASSET_test_0031,lexical,1,ASSET,"In architectural decoration Small pieces of colored and iridescent shell have been used to create mosaics and inlays, which have been used to decorate walls, furniture and boxes.","In architectural decoration Minor pieces of colored and iridescent shell have been used to develop mosaics and inlays, which have been used to decorate walls, furniture and boxes.",claude-haiku,False,high,['CONTENT'],"""Small pieces"" and ""Minor pieces"" have different semantic meanings - small refers to size while minor implies lesser importance or significance.",mistral-large-3,True,high,[],"The transformation replaces 'Small' with 'Minor,' which does not alter the core meaning or any critical criteria."
INV_LEX_ASSET_test_0042,lexical,1,ASSET,"As a result, although many mosques will not enforce violations, both men and women when attending a mosque must adhere to these guidelines.","As a effect, although many mosques will not enforce violations, both men and women when attending a mosque must adhere to these guidelines.",claude-haiku,False,high,['CONTENT'],'As a result' and 'As a effect' are not semantically equivalent; the latter is grammatically incorrect and lacks the proper article 'an'.,mistral-large-3,True,high,[],"The substitution of 'As a result' with 'As a effect' does not alter the meaning, agents, actions, modals, negation, conditions, or content of the sentence."
INV_LEX_ASSET_test_0074,lexical,2,ASSET,"It is also a starting point for people wanting to explore Cooktown, Cape York Peninsula, and the Atherton Tableland.","It is also a starting point for citizens wanting to explore Cooktown, Cape York Peninsula, and the Atherton Tableland.",claude-haiku,True,high,[],Substituting 'people' with 'citizens' preserves the core meaning; both refer to human agents wanting to explore the same three geographic locations.,mistral-large-3,False,high,['AGENTS'],"The transformed text restricts the agents from 'people' to 'citizens', altering the scope of the original statement."
